#lakeno iconn k i j claktype bedleak belev telev connlen connwidth
1 94 1 36 27 vertical 0.045 0.0 0.0 0.0 0.0
1 95 1 33 40 vertical 0.025 0.0 0.0 0.0 0.0
1 96 1 36 36 vertical 0.025 0.0 0.0 0.0 0.0
1 97 1 25 45 vertical 0.025 0.0 0.0 0.0 0.0
1 98 1 36 45 vertical 0.025 0.0 0.0 0.0 0.0
1 99 1 39 47 vertical 0.025 0.0 0.0 0.0 0.0
1 100 1 28 37 vertical 0.025 0.0 0.0 0.0 0.0
1 101 1 28 46 vertical 0.025 0.0 0.0 0.0 0.0
1 102 1 31 42 vertical 0.025 0.0 0.0 0.0 0.0
1 103 1 40 29 vertical 0.025 0.0 0.0 0.0 0.0
1 104 1 32 34 vertical 0.025 0.0 0.0 0.0 0.0
1 105 1 40 47 vertical 0.025 0.0 0.0 0.0 0.0
1 106 1 32 43 vertical 0.025 0.0 0.0 0.0 0.0
1 107 1 36 31 vertical 0.025 0.0 0.0 0.0 0.0
1 108 1 39 42 vertical 0.025 0.0 0.0 0.0 0.0
1 109 1 27 49 vertical 0.045 0.0 0.0 0.0 0.0
1 110 1 28 32 vertical 0.025 0.0 0.0 0.0 0.0
1 111 1 28 41 vertical 0.025 0.0 0.0 0.0 0.0
1 112 1 31 37 vertical 0.025 0.0 0.0 0.0 0.0
1 113 1 31 46 vertical 0.025 0.0 0.0 0.0 0.0
1 114 1 32 29 vertical 0.025 0.0 0.0 0.0 0.0
1 115 1 32 38 vertical 0.025 0.0 0.0 0.0 0.0
1 116 1 24 43 vertical 0.045 0.0 0.0 0.0 0.0
1 117 1 35 40 vertical 0.025 0.0 0.0 0.0 0.0
1 118 1 35 49 vertical 0.025 0.0 0.0 0.0 0.0
1 119 1 38 45 vertical 0.025 0.0 0.0 0.0 0.0
1 120 1 39 28 vertical 0.025 0.0 0.0 0.0 0.0
1 121 1 27 35 vertical 0.025 0.0 0.0 0.0 0.0
1 122 1 39 37 vertical 0.045 0.0 0.0 0.0 0.0
1 123 1 27 44 vertical 0.025 0.0 0.0 0.0 0.0
1 124 1 39 46 vertical 0.025 0.0 0.0 0.0 0.0
1 125 1 28 36 vertical 0.025 0.0 0.0 0.0 0.0
1 126 1 31 32 vertical 0.025 0.0 0.0 0.0 0.0
1 127 1 28 45 vertical 0.025 0.0 0.0 0.0 0.0
1 128 1 31 41 vertical 0.025 0.0 0.0 0.0 0.0
1 129 1 31 50 vertical 0.025 0.0 0.0 0.0 0.0
1 130 1 40 28 vertical 0.025 0.0 0.0 0.0 0.0
1 131 1 32 33 vertical 0.025 0.0 0.0 0.0 0.0
