#k i j head boundname
2 51 1 305.874 perimeter-heads
2 52 1 305.803 perimeter-heads
2 53 1 305.733 perimeter-heads
2 54 1 305.677 perimeter-heads
2 55 1 305.62 perimeter-heads
2 56 1 305.564 perimeter-heads
2 57 1 305.493 perimeter-heads
2 58 1 305.423 perimeter-heads
2 59 1 305.373 perimeter-heads
2 60 1 305.322 perimeter-heads
2 60 2 305.215 perimeter-heads
2 60 3 305.108 perimeter-heads
2 60 4 304.988 perimeter-heads
2 60 5 304.874 perimeter-heads
2 60 6 304.757 perimeter-heads
2 60 7 304.634 perimeter-heads
2 60 8 304.512 perimeter-heads
2 60 9 304.373 perimeter-heads
2 60 10 304.236 perimeter-heads
2 60 11 304.1 perimeter-heads
2 60 12 303.963 perimeter-heads
2 60 13 303.825 perimeter-heads
2 60 14 303.665 perimeter-heads
2 60 15 303.506 perimeter-heads
2 60 16 303.352 perimeter-heads
2 60 17 303.2 perimeter-heads
2 60 18 303.042 perimeter-heads
2 60 19 302.879 perimeter-heads
2 60 20 302.717 perimeter-heads
2 60 21 302.547 perimeter-heads
2 60 22 302.345 perimeter-heads
2 60 23 302.169 perimeter-heads
2 60 24 301.984 perimeter-heads
2 60 25 301.8 perimeter-heads
2 60 26 301.613 perimeter-heads
2 60 27 301.425 perimeter-heads
2 60 28 301.24 perimeter-heads
2 60 29 301.102 perimeter-heads
2 60 30 300.961 perimeter-heads
2 60 31 300.769 perimeter-heads
2 60 32 300.591 perimeter-heads
2 60 33 300.447 perimeter-heads
2 60 34 300.285 perimeter-heads
2 60 35 300.123 perimeter-heads
2 60 36 299.961 perimeter-heads
2 60 37 299.793 perimeter-heads
2 60 38 299.623 perimeter-heads
2 60 39 299.495 perimeter-heads
2 60 40 299.359 perimeter-heads
2 60 41 299.074 perimeter-heads
2 60 42 298.919 perimeter-heads
2 60 43 298.796 perimeter-heads
2 60 44 298.554 perimeter-heads
2 60 45 298.298 perimeter-heads
2 60 46 297.999 perimeter-heads
2 60 47 297.756 perimeter-heads
2 60 48 297.512 perimeter-heads
2 60 49 297.232 perimeter-heads
2 60 50 297.001 perimeter-heads
2 60 51 296.779 perimeter-heads
2 60 52 296.556 perimeter-heads
2 60 53 296.329 perimeter-heads
2 60 54 296.24 perimeter-heads
2 60 55 296.152 perimeter-heads
2 60 56 296.058 perimeter-heads
2 60 57 295.924 perimeter-heads
2 60 58 295.784 perimeter-heads
2 60 59 295.712 perimeter-heads
2 60 60 295.641 perimeter-heads
2 60 61 295.571 perimeter-heads
2 60 66 294.915 perimeter-heads
2 1 2 310.073 perimeter-heads
2 1 3 309.981 perimeter-heads
2 1 4 309.878 perimeter-heads
2 1 5 309.776 perimeter-heads
2 1 6 309.673 perimeter-heads
2 1 7 309.566 perimeter-heads
2 1 8 309.458 perimeter-heads
2 1 9 309.311 perimeter-heads
2 1 10 309.163 perimeter-heads
2 1 11 309.021 perimeter-heads
2 1 12 308.886 perimeter-heads
2 1 13 308.746 perimeter-heads
2 1 14 308.627 perimeter-heads
2 1 15 308.508 perimeter-heads
2 1 16 308.398 perimeter-heads
2 1 17 308.288 perimeter-heads
2 1 18 308.178 perimeter-heads
2 1 19 308.065 perimeter-heads
2 1 20 307.941 perimeter-heads
2 1 21 307.865 perimeter-heads
2 1 22 307.75 perimeter-heads
2 1 23 307.63 perimeter-heads
2 1 24 307.482 perimeter-heads
2 1 25 307.334 perimeter-heads
2 1 26 307.149 perimeter-heads
2 1 27 306.965 perimeter-heads
2 1 28 306.78 perimeter-heads
2 1 29 306.62 perimeter-heads
2 1 30 306.459 perimeter-heads
2 1 31 306.293 perimeter-heads
2 1 32 306.126 perimeter-heads
2 1 33 305.96 perimeter-heads
2 1 34 305.785 perimeter-heads
2 1 35 305.609 perimeter-heads
2 1 36 305.416 perimeter-heads
2 1 37 305.224 perimeter-heads
2 1 38 305.032 perimeter-heads
2 1 39 304.809 perimeter-heads
2 1 40 304.597 perimeter-heads
2 1 41 304.367 perimeter-heads
2 1 42 304.129 perimeter-heads
2 1 43 303.891 perimeter-heads
2 1 44 303.669 perimeter-heads
2 1 45 303.447 perimeter-heads
2 1 46 303.229 perimeter-heads
2 1 47 303.022 perimeter-heads
2 1 48 302.809 perimeter-heads
2 1 49 302.577 perimeter-heads
2 1 50 302.345 perimeter-heads
2 1 51 302.119 perimeter-heads
2 1 52 301.903 perimeter-heads
2 1 53 301.684 perimeter-heads
2 1 54 301.481 perimeter-heads
2 1 55 301.277 perimeter-heads
2 1 56 301.073 perimeter-heads
2 1 57 300.85 perimeter-heads
2 1 58 300.63 perimeter-heads
2 1 59 300.444 perimeter-heads
2 1 60 300.258 perimeter-heads
2 1 61 300.061 perimeter-heads
2 1 62 299.849 perimeter-heads
2 1 63 299.648 perimeter-heads
2 1 64 299.507 perimeter-heads
2 1 65 299.366 perimeter-heads
2 1 66 299.221 perimeter-heads
2 1 67 299.075 perimeter-heads
2 1 68 298.929 perimeter-heads
2 1 69 298.789 perimeter-heads
3 1 70 298.77 perimeter-heads
3 2 70 298.644 perimeter-heads
3 3 70 298.518 perimeter-heads
3 4 70 298.4 perimeter-heads
3 5 70 298.283 perimeter-heads
3 6 70 298.165 perimeter-heads
3 7 70 298.039 perimeter-heads
3 8 70 297.913 perimeter-heads
3 9 70 297.804 perimeter-heads
3 10 70 297.696 perimeter-heads
3 11 70 297.587 perimeter-heads
3 12 70 297.468 perimeter-heads
3 13 70 297.349 perimeter-heads
3 14 70 297.254 perimeter-heads
3 15 70 297.157 perimeter-heads
3 16 70 297.062 perimeter-heads
3 17 70 296.959 perimeter-heads
3 18 70 296.855 perimeter-heads
3 19 70 296.776 perimeter-heads
3 20 70 296.697 perimeter-heads
3 21 70 296.618 perimeter-heads
3 22 70 296.532 perimeter-heads
3 23 70 296.446 perimeter-heads
3 24 70 296.387 perimeter-heads
3 25 70 296.328 perimeter-heads
3 26 70 296.269 perimeter-heads
3 27 70 296.204 perimeter-heads
3 28 70 296.138 perimeter-heads
3 29 70 296.085 perimeter-heads
3 30 70 296.032 perimeter-heads
3 31 70 295.979 perimeter-heads
3 32 70 295.922 perimeter-heads
3 33 70 295.866 perimeter-heads
3 34 70 295.805 perimeter-heads
3 35 70 295.744 perimeter-heads
3 36 70 295.685 perimeter-heads
3 37 70 295.626 perimeter-heads
3 38 70 295.567 perimeter-heads
3 39 70 295.496 perimeter-heads
3 40 70 295.425 perimeter-heads
3 41 70 295.354 perimeter-heads
3 42 70 295.282 perimeter-heads
3 43 70 295.209 perimeter-heads
3 44 70 295.124 perimeter-heads
3 45 70 295.039 perimeter-heads
3 46 70 294.954 perimeter-heads
3 47 70 294.87 perimeter-heads
3 48 70 294.786 perimeter-heads
3 49 70 294.692 perimeter-heads
3 50 70 294.598 perimeter-heads
3 51 70 294.502 perimeter-heads
3 52 70 294.405 perimeter-heads
3 53 70 294.309 perimeter-heads
3 54 70 294.213 perimeter-heads
3 55 70 294.117 perimeter-heads
3 56 70 294.014 perimeter-heads
3 57 70 293.911 perimeter-heads
3 58 70 293.808 perimeter-heads
3 59 70 293.711 perimeter-heads
3 60 70 293.614 perimeter-heads
3 1 1 309.998 perimeter-heads
3 2 1 309.927 perimeter-heads
3 3 1 309.856 perimeter-heads
3 4 1 309.782 perimeter-heads
3 5 1 309.709 perimeter-heads
3 6 1 309.63 perimeter-heads
3 7 1 309.552 perimeter-heads
3 8 1 309.473 perimeter-heads
3 9 1 309.387 perimeter-heads
3 10 1 309.301 perimeter-heads
3 11 1 309.215 perimeter-heads
3 12 1 309.135 perimeter-heads
3 13 1 309.056 perimeter-heads
3 14 1 308.97 perimeter-heads
3 15 1 308.885 perimeter-heads
3 16 1 308.793 perimeter-heads
3 17 1 308.701 perimeter-heads
3 18 1 308.609 perimeter-heads
3 19 1 308.52 perimeter-heads
3 20 1 308.431 perimeter-heads
3 21 1 308.336 perimeter-heads
3 22 1 308.241 perimeter-heads
